chr	start	end	strand	ensembl_transcript_id	FPB_circ_rep1	FPB_circ_rep2	mean_FPB_circ
chr16	89770049	89770165	-	ENST00000389301.8	0.549790558661	0	0.2748952793305
chr15	43793083	43793689	+	ENST00000381359.5	0.549790558661	0.941172395865	0.745481477263
chr14	23301878	23302159	-	ENST00000452015.8	0.274895279331	0.62744826391	0.4511717716205
chr14	67691270	67692437	-	ENST00000381346.9	0.274895279331	0.313724131955	0.294309705643
chr14	76082367	76082591	+	ENST00000314067.10	0.274895279331	0.313724131955	0.294309705643
chr14	76173625	76176601	+	ENST00000554375.5	0.274895279331	0.313724131955	0.294309705643
chr19	1274440	1274626	+	ENST00000585913.5	1.37447639665	3.76468958346	2.569582990055
chr19	1274440	1274627	+	ENST00000585913.5	1.92426695531	2.19606892369	2.0601679395
chr19	3647409	3648624	-	ENST00000335312.7	1.64937167598	0.941172395865	1.2952720359225
chr19	5787380	5787588	-	ENST00000309061.12	2.74895279331	0.941172395865	1.8450625945875
chr19	6216540	6217953	-	ENST00000252674.9	0.549790558661	0	0.2748952793305
chr22	19977607	19977957	-	ENST00000263207.8	0.824685837992	0	0.412342918996
chr22	20551487	20553113	+	ENST00000445987.5	0.549790558661	0	0.2748952793305
chr22	29340881	29341500	-	ENST00000357586.6	0.549790558661	0.313724131955	0.431757345308
chr22	29560852	29561170	-	ENST00000216121.11	1.37447639665	0.62744826391	1.00096233028
chr22	36285348	36285657	-	ENST00000216181.10	1.37447639665	0	0.687238198325
chr22	36285357	36285657	-	ENST00000216181.10	0.549790558661	0	0.2748952793305
chr22	41900498	41902936	+	ENST00000612482.4	0.549790558661	0	0.2748952793305
chr20	45899904	45902266	-	ENST00000354050.8	1.09958111732	0.62744826391	0.863514690615
chr7	100099438	100099588	-	ENST00000489841.5	0.274895279331	0.62744826391	0.4511717716205
chr7	100099444	100099588	-	ENST00000489841.5	0.274895279331	0.941172395865	0.608033837598
chr7	143265092	143265237	+	ENST00000409500.7	0.549790558661	0	0.2748952793305
chr7	149292308	149293348	+	ENST00000378052.5	0.549790558661	0.941172395865	0.745481477263
chr6	7211709	7226438	+	ENST00000379933.7	0.274895279331	0.62744826391	0.4511717716205
chr6	43178882	43179066	+	ENST00000265354.6	1.09958111732	0	0.54979055866
chr5	132271093	132271276	+	ENST00000253754.8	0.274895279331	0.313724131955	0.294309705643
chr5	177310562	177310667	-	ENST00000427908.6	0.549790558661	0.313724131955	0.431757345308
chr3	49032796	49033119	-	ENST00000395443.7	0.824685837992	0.62744826391	0.726067050951
chr3	51994151	51995041	-	ENST00000648640.1	1.37447639665	0.62744826391	1.00096233028
chr3	52490231	52490679	+	ENST00000479054.5	0.824685837992	0.313724131955	0.5692049849735
chr3	184182248	184182735	+	ENST00000382456.7	0.824685837992	0.941172395865	0.8829291169285
chr2	17752892	17753001	-	ENST00000621152.4	0.549790558661	0	0.2748952793305
chr2	27233140	27233282	+	ENST00000264705.9	3.5736386313	2.19606892369	2.884853777495
chr2	27373311	27373835	+	ENST00000537606.5	0.274895279331	0.62744826391	0.4511717716205
chr2	241498382	241498638	-	ENST00000316586.9	0.549790558661	0	0.2748952793305
chr1	9744023	9744394	-	ENST00000377298.8	0.549790558661	0	0.2748952793305
chr1	12001836	12001957	+	ENST00000444836.5	2.19916223464	2.19606892369	2.197615579165
chr1	12029894	12029996	+	ENST00000235332.6	0.549790558661	0.313724131955	0.431757345308
chr1	19158025	19160110	-	ENST00000375254.8	0.274895279331	0.62744826391	0.4511717716205
chr1	44753254	44753699	+	ENST00000372224.9	0.824685837992	0.941172395865	0.8829291169285
chr1	46022971	46023209	+	ENST00000361297.7	0.274895279331	0.62744826391	0.4511717716205
chr1	156042260	156042773	-	ENST00000368309.4	0.274895279331	0.313724131955	0.294309705643
chr9	33467279	33467393	-	ENST00000297990.9	0.549790558661	0.62744826391	0.5886194112855
chr9	34993444	34996241	+	ENST00000453597.7	0.549790558661	0	0.2748952793305
chr9	35684336	35684487	-	ENST00000644325.1	0.549790558661	0.62744826391	0.5886194112855
chr9	136806559	136806828	-	ENST00000414656.1	0.549790558661	0	0.2748952793305
chr9	137175499	137175707	-	ENST00000487917.1	0.824685837992	0	0.412342918996
chr9	137272222	137272481	+	ENST00000343053.5	0.824685837992	1.25489652782	1.039791182906
chr8	27511910	27515694	+	ENST00000521400.5	0.274895279331	0.313724131955	0.294309705643
chr8	60828806	60830303	+	ENST00000423902.7	0.274895279331	0.313724131955	0.294309705643
chr11	3702660	3702771	-	ENST00000429801.5	0	0.62744826391	0.313724131955
chr11	62835558	62835694	-	ENST00000311713.11	0	0.62744826391	0.313724131955
chr17	2694307	2694479	-	ENST00000435359.5	0	0.941172395865	0.4705861979325
chr17	8377717	8379795	-	ENST00000582471.1	0	0.62744826391	0.313724131955
chr17	29569086	29569288	+	ENST00000583940.5	0	0.62744826391	0.313724131955
chr17	75563178	75563300	+	ENST00000167462.9	0	0.62744826391	0.313724131955
chr16	4871301	4872857	+	ENST00000262376.10	0	0.62744826391	0.313724131955
chr16	89770048	89770165	-	ENST00000389301.8	0	0.62744826391	0.313724131955
chr19	3620294	3620706	-	ENST00000429344.7	0	0.941172395865	0.4705861979325
chr19	5787378	5787588	-	ENST00000309061.12	0	1.56862065978	0.78431032989
chr22	36285347	36285657	-	ENST00000216181.10	0	0.62744826391	0.313724131955
chr22	45542283	45543377	+	ENST00000402984.7	0	0.62744826391	0.313724131955
chr7	100345968	100349709	+	ENST00000473757.5	0	0.62744826391	0.313724131955
chr7	131506064	131506259	-	ENST00000446198.5	0	1.88234479173	0.941172395865
chr6	39912402	39912891	-	ENST00000373181.8	0	0.62744826391	0.313724131955
chr6	43139271	43139373	+	ENST00000230419.9	0	0.62744826391	0.313724131955
chr5	116480299	116482443	-	ENST00000343348.10	0	0.62744826391	0.313724131955
chr3	52490231	52490678	+	ENST00000479054.5	0	0.62744826391	0.313724131955
chr1	29060484	29060608	+	ENST00000642260.1	0	0.62744826391	0.313724131955
chr1	44776140	44776644	+	ENST00000497035.5	0	0.62744826391	0.313724131955
chr9	35664149	35664371	-	ENST00000490638.5	0	0.62744826391	0.313724131955
chr9	128826170	128826383	-	ENST00000361256.10	0	1.56862065978	0.78431032989
chr9	129638684	129639201	-	ENST00000450050.6	0	0.941172395865	0.4705861979325
