ensembl_gene_id	Gene	log2FC	padj	gene_biotype
ENSG00000100311	PDGFB	-1.22e-01	9.06e-01	protein_coding
ENSG00000081386	ZNF510	-1.57e-01	9.37e-01	protein_coding
ENSG00000101367	MAPRE1	-7.06e-02	9.57e-01	protein_coding
ENSG00000225465	RFPL1S	 1.81e-01	8.67e-01	lncRNA
ENSG00000010322	NISCH	 3.48e-01	1.99e-01	protein_coding
ENSG00000127445	PIN1	-3.62e-01	5.03e-01	protein_coding
ENSG00000198718	TOGARAM1	 5.75e-01	1.52e-01	protein_coding
ENSG00000265933	LINC00668	-2.26e-01	6.75e-01	lncRNA
ENSG00000100285	NEFH	 1.37e-01	9.18e-01	protein_coding
ENSG00000171421	MRPL36	-6.28e-01	4.59e-02	protein_coding
ENSG00000179454	KLHL28	 2.32e-01	8.60e-01	protein_coding
ENSG00000182534	MXRA7	-1.15e-01	9.24e-01	protein_coding
ENSG00000142627	EPHA2	 3.94e-01	5.03e-02	protein_coding
ENSG00000149743	TRPT1	-4.57e-01	1.65e-01	protein_coding
ENSG00000156011	PSD3	-1.13e+00	6.58e-04	protein_coding
ENSG00000168062	BATF2	-3.80e-01	5.48e-01	protein_coding
ENSG00000099917	MED15	 1.15e-01	8.73e-01	protein_coding
ENSG00000047056	WDR37	-2.95e-02	9.83e-01	protein_coding
ENSG00000008853	RHOBTB2	 2.52e-01	3.10e-01	protein_coding
ENSG00000178031	ADAMTSL1	 8.50e-02	9.64e-01	protein_coding
ENSG00000186073	C15orf41	 5.17e-01	7.82e-02	protein_coding
ENSG00000179051	RCC2	 2.67e-02	9.74e-01	protein_coding
ENSG00000205268	PDE7A	-6.14e-02	9.67e-01	protein_coding
ENSG00000120889	TNFRSF10B	 2.14e-01	5.54e-01	protein_coding
ENSG00000155229	MMS19	 9.51e-02	9.50e-01	protein_coding
ENSG00000106689	LHX2	-4.81e-02	9.72e-01	protein_coding
ENSG00000142961	MOB3C	-2.72e-01	4.77e-01	protein_coding
ENSG00000043514	TRIT1	-6.33e-02	9.69e-01	protein_coding
ENSG00000160867	FGFR4	 1.44e-01	9.35e-01	protein_coding
ENSG00000180229	HERC2P3	 5.72e-01	3.08e-02	transcribed_unprocessed_pseudogene
ENSG00000273387	AC005005.3	 3.09e-01	7.45e-01	lncRNA
ENSG00000278920	AC005005.4	 7.85e-01	6.99e-02	lncRNA
ENSG00000131899	LLGL1	 9.44e-02	9.37e-01	protein_coding
ENSG00000103145	HCFC1R1	-3.87e-01	1.67e-01	protein_coding
ENSG00000131503	ANKHD1	 2.68e-01	7.53e-01	protein_coding
ENSG00000066855	MTFR1	-1.82e-01	7.07e-01	protein_coding
ENSG00000133111	RFXAP	 1.04e-01	9.66e-01	protein_coding
ENSG00000177731	FLII	 2.37e-01	6.45e-01	protein_coding
ENSG00000185049	NELFA	 6.02e-02	9.66e-01	protein_coding
ENSG00000256116	AP001453.1	-1.16e-01	9.63e-01	lncRNA
ENSG00000149761	NUDT22	-3.90e-01	1.15e-01	protein_coding
ENSG00000112304	ACOT13	-4.52e-01	2.13e-01	protein_coding
ENSG00000141858	SAMD1	-6.90e-02	9.25e-01	protein_coding
ENSG00000104833	TUBB4A	 6.03e-02	9.74e-01	protein_coding
ENSG00000111181	SLC6A12	 4.69e-01	5.54e-01	protein_coding
ENSG00000180822	PSMG4	-7.25e-01	3.76e-02	protein_coding
ENSG00000196597	ZNF782	 8.46e-01	9.04e-02	protein_coding
ENSG00000079277	MKNK1	-5.52e-02	9.63e-01	protein_coding
ENSG00000213523	SRA1	-3.51e-01	5.40e-01	protein_coding
ENSG00000144736	SHQ1	-3.89e-01	1.16e-01	protein_coding
ENSG00000112308	C6orf62	 3.84e-02	9.83e-01	protein_coding
ENSG00000110025	SNX15	-3.34e-02	9.78e-01	protein_coding
ENSG00000111644	ACRBP	 2.73e-01	7.84e-01	protein_coding
ENSG00000261971	MMP25-AS1	 2.19e-01	7.51e-01	lncRNA
ENSG00000110011	DNAJC4	-3.21e-01	2.42e-01	protein_coding
ENSG00000221869	CEBPD	-1.37e-01	9.17e-01	protein_coding
ENSG00000132109	TRIM21	-6.82e-02	9.71e-01	protein_coding
ENSG00000131480	AOC2	 9.27e-02	9.67e-01	protein_coding
ENSG00000213465	ARL2	-4.19e-01	9.20e-02	protein_coding
ENSG00000173402	DAG1	 7.83e-02	9.12e-01	protein_coding
ENSG00000167173	C15orf39	 4.59e-03	9.96e-01	protein_coding
ENSG00000131652	THOC6	-1.58e-02	9.93e-01	protein_coding
ENSG00000141524	TMC6	-1.04e-01	9.29e-01	protein_coding
ENSG00000180884	ZNF792	-7.38e-02	9.69e-01	protein_coding
ENSG00000166411	IDH3A	-1.45e-01	8.66e-01	protein_coding
ENSG00000175906	ARL4D	-2.39e-01	7.75e-01	protein_coding
ENSG00000168301	KCTD6	-4.32e-01	3.98e-01	protein_coding
ENSG00000115257	PCSK4	 1.03e-01	9.61e-01	protein_coding
